index,Series_Title,Released_Year,Certificate,Runtime_in_Minutes,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
280,Network,1976,UA,121,Drama,8.1,83.0,144911.0,-1
281,Barry Lyndon,1975,PG,185,"Adventure, Drama, History",8.1,89.0,149843.0,-1
282,Zerkalo,1975,G,107,"Biography, Drama",8.1,-1.0,40081.0,177345
283,Chinatown,1974,UA,130,"Drama, Mystery, Thriller",8.1,92.0,294230.0,29000000
284,Paper Moon,1973,U,102,"Comedy, Crime, Drama",8.1,77.0,42285.0,30933743
285,Viskningar och rop,1972,A,91,Drama,8.1,-1.0,30206.0,1742348
286,Solaris,1972,PG,167,"Drama, Mystery, Sci-Fi",8.1,90.0,81021.0,-1
287,Le samouraï,1967,GP,105,"Crime, Drama, Mystery",8.1,-1.0,45434.0,39481
288,Cool Hand Luke,1967,A,127,"Crime, Drama",8.1,92.0,161984.0,16217773
289,Persona,1966,-1,85,"Drama, Thriller",8.1,86.0,103191.0,-1
290,Andrei Rublev,1966,R,205,"Biography, Drama, History",8.1,-1.0,46947.0,102021
291,La battaglia di Algeri,1966,-1,121,"Drama, War",8.1,96.0,53089.0,55908
