movie_id,actor_id
208,208
1129,208
2020,208
2160,208
209,209
1007,209
3578,209
210,210
753,210
2099,210
211,211
212,212
1748,212
213,213
214,214
738,214
215,215
2513,215
2622,215
2634,215
216,216
786,216
217,217
329,217
362,217
777,217
1024,217
1037,217
1099,217
1511,217
1756,217
2904,217
3795,217
218,218
877,218
2145,218
2767,218
3059,218
3060,218
3473,218
219,219
220,220
2233,220
221,221
202,222
222,222
1036,222
2479,222
144,223
223,223
1063,223
1343,223
3573,223
224,224
1335,224
2579,224
12,225
115,225
167,225
225,225
431,225
691,225
853,225
965,225
985,225
991,225
1234,225
1854,225
226,226
506,226
755,226
781,226
927,226
947,226
227,227
228,228
690,228
811,228
229,229
2248,229
2626,229
230,230
231,231
3879,231
232,232
904,232
233,233
238,233
2207,233
234,234
235,235
775,235
236,236
237,237
259,237
478,237
643,237
654,237
1802,237
1931,237
2266,237
2491,237
233,238
238,238
2207,238
19,239
239,239
939,239
2641,239
57,240
64,240
153,240
166,240
207,240
240,240
247,240
2065,240
241,241
369,241
1006,241
1654,241
242,242
1245,242
1516,242
8,243
37,243
145,243
147,243
243,243
343,243
361,243
652,243
879,243
1658,243
2062,243
244,244
245,245
246,246
57,247
64,247
153,247
166,247
207,247
240,247
247,247
2065,247
171,248
248,248
393,248
807,248
963,248
2598,248
3006,248
249,249
1103,249
94,250
250,250
251,251
252,252
255,252
797,252
826,252
827,252
980,252
253,253
1507,253
1666,253
2261,253
2375,253
254,254
377,254
1790,254
252,255
255,255
797,255
826,255
827,255
980,255
256,256
257,257
2355,257
148,258
156,258
258,258
352,258
629,258
1374,258
237,259
259,259
478,259
643,259
654,259
1802,259
1931,259
2266,259
2491,259
260,260
261,261
262,262
470,262
149,263
263,263
525,263
821,263
264,264
265,265
2264,265
99,266
266,266
1671,266
2399,266
267,267
268,268
269,269
270,270
271,271
1584,271
1659,271
2798,271
272,272
273,273
540,273
274,274
72,275
168,275
275,275
340,275
663,275
1016,275
1029,275
1109,275
276,276
632,276
661,276
1028,276
2545,276
277,277
1178,277
15,278
71,278
111,278
165,278
173,278
278,278
484,278
664,278
671,278
687,278
960,278
1003,278
1033,278
1164,278
2527,278
2529,278
2752,278
279,279
840,279
1894,279
280,280
1283,280
1702,280
281,281
284,281
282,282
17,283
73,283
283,283
806,283
1824,283
2037,283
281,284
284,284
285,285
3380,285
286,286
287,287
112,288
288,288
424,288
434,288
838,288
1439,288
289,289
1184,289
290,290
2174,290
291,291
292,292
190,293
293,293
31,294
77,294
181,294
189,294
294,294
301,294
303,294
32,295
81,295
119,295
