id,actor
896,Yayan Ruhian
897,Vin Diesel
898,Lucy Boynton
899,Irandhir Santos
900,Viola Davis
901,Morena Baccarin
902,Simon Yam
903,Mete Horozoglu
904,Mila Kunis
905,André Ramiro
906,Chiara Mastroianni
907,Jennifer Garner
908,Thandie Newton
909,Djimon Hounsou
910,Edgar Ramírez
911,Hee Jae
912,Robert Rodriguez
913,Özge Özberk
914,Brad Garrett
915,Eva Green
916,Ivan Dobronravov
917,Yeong-su Oh
918,Belén Rueda
919,Renée Zellweger
920,Andy Lau
921,Albert Finney
922,Jun Ji-Hyun
923,Paul Bettany
924,Yilmaz Erdogan
925,Jena Malone
926,Jason Robards
927,Sissy Spacek
928,Rica Matsumoto
929,Henning Moritzen
930,Vinícius de Oliveira
931,Harry Connick Jr.
932,Jan Josef Liefers
933,Dwight Yoakam
934,Brenda Blethyn
935,Madeleine Stowe
936,Iemasa Kayumi
937,Chris Sarandon
938,Jesse Borrego
939,Chris O'Donnell
940,Scott Weinger
941,Paige O'Hara
942,Mary McDonnell
943,Ossie Davis
944,Nozomu Sasaki
945,Mandy Patinkin
946,Solveig Dommartin
947,Raphael Fejtö
948,Keiko Yokozawa
949,John Gielgud
950,Tsutomu Yamazaki
951,Diane Keaton
952,Robert Shaw
953,John Cazale
954,Madeline Kahn
955,Norma Crane
956,Stefania Sandrelli
957,John Cassavetes
958,Roddy McDowall
959,Anne Bancroft
960,Christopher Plummer
961,Julie Christie
962,Gian Maria Volontè
963,Anouk Aimée
964,Sady Rebbot
965,Jackie Gleason
966,Anita Ekberg
967,Dean Martin
968,Lee Remick
969,Coleen Gray
970,Shelley Winters
971,Véra Clouzot
972,Don Taylor
973,Gloria Grahame
974,John Dall
975,Jane Greer
976,Trevor Howard
977,Dana Andrews
978,Priscilla Lane
979,Mary Astor
980,Jane Darwell
981,Mervyn LeRoy
982,Nora Gregor
983,Louis Wolheim
984,Vladimir Barskiy
985,Sanjana Sanghi
986,Sakura Andô
987,Timothée Chalamet
988,Dave Johns
989,Koyu Rankin
990,Julian Dennison
991,Aidan Gillen
992,Tom Hiddleston
993,Rene Russo
994,Thomasin McKenzie
995,Jeremy Renner
996,John Boyega
997,Niels Arestrup
998,Lina Leandersson
999,David James
1000,Marisa Tomei
1001,Kareena Kapoor
1002,Patricia Arquette
1003,Laura Vasiliu
1004,Zachary Quinto
1005,Tony Todd
1006,Kazunari Ninomiya
1007,Catinca Untaru
1008,Meryl Streep
1009,Marc-André Grondin
1010,François Berléand
1011,Gwyneth Paltrow
1012,Nick Frost
1013,Sibel Kekilli
1014,Javier Cámara
1015,Rene Bitorajac
1016,Hiroyuki Okiura
1017,Gastón Pauls
1018,Clive Owen
1019,Patrick Fugit
1020,Laura Harring
1021,Issey Takahashi
1022,Temuera Morrison
1023,Emi Shinohara
1024,Brenda Fricker
1025,Dianne Wiest
1026,Kim Greist
1027,Michael McKean
1028,Melinda Dillon
1029,Dan Aykroyd
1030,Jessica Lange
1031,Ken Foree
1032,Horacio Salinas
1033,Bruno Zanin
1034,Delphine Seyrig
1035,Ruy Guerra
1036,Bud Cort
1037,Ernest Borgnine
1038,Judith O'Dea
1039,Laurence Harvey
1040,Monica Vitti
1041,Eiji Okada
1042,Jeffrey Hunter
1043,Raymond Massey
1044,Robert Walker
1045,Maureen O'Hara
1046,Lauren Bacall
1047,Jane Wyman
1048,Rosalind Russell
1049,Errol Flynn
1050,Fay Wray
1051,Leila Hyams
1052,Alexander Granach
1053,Charlie Hunnam
1054,Olivia Cooke
1055,Taraneh Alidoosti
1056,Barry Keoghan
1057,Anna Foglietta
1058,Octavia Spencer
1059,Hugh Grant
1060,Art Parkinson
1061,Kiara Advani
1062,Michelle Williams
1063,Louis Hofmann
1064,Diego Luna
1065,Douglas Booth
1066,Imelda Staunton
1067,Carlo Verdone
1068,Yami Gautam
1069,Ryan Potter
1070,Rachel McAdams
1071,Adil Hussain
1072,Hidetoshi Nishijima
1073,Jim Sturgess
1074,Kara Hayward
1075,Steve Carell
1076,Yoshino Kimura
1077,Rooney Mara
1078,Barkhad Abdi
1079,Sae-ron Kim
1080,Corey Hawkins
1081,Ernst Jacobi
1082,Noomi Rapace
1083,Alex Sharp
1084,Maggie Grace
1085,Markéta Irglová
1086,Nurgül Yesilçay
1087,Carey Mulligan
1088,Zoe Saldana
1089,Sarah Polley
1090,Raoul Max Trujillo
1091,Matthew Macfadyen
1092,Diane Ladd
1093,Tôru Emori
1094,Gina Torres
1095,Reese Witherspoon
1096,Henrik Lundström
1097,Rodrigo De la Serna
1098,Artyom Bogucharskiy
1099,Jean-Claude Donda
1100,Trevor Jack Brooks
1101,Will Patton
1102,Michelle Yeoh
1103,Marisa Paredes
1104,Helen Hunt
1105,Sean Patrick Flanery
1106,Chris Cooper
1107,Mike Myers
1108,Kayoko Kishimoto
1109,Deborah Kara Unger
1110,Mike Vitar
1111,Lesley Sharp
1112,Chazz Palminteri
1113,Frank Paur
1114,Laurence Fishburne
1115,Minami Takayama
1116,Danny Lee
1117,Carl Weathers
1118,Sarah Berry
1119,Alan Ruck
1120,John Lurie
1121,Whoopi Goldberg
1122,Judd Nelson
1123,Haing S. Ngor
1124,Scott Glenn
1125,Jerry Lewis
1126,Drew Barrymore
1127,Brooke Adams
1128,Sondra Locke
1129,Jennifer Drake
1130,Terence Alexander
1131,Michael York
1132,Jack Albertson
1133,Alan Arkin
1134,Rex Harrison
1135,Dick Van Dyke
1136,Gerd Oswald
1137,Oskar Werner
1138,Peter Wyngarde
1139,Jean Seberg
1140,Edward G. Robinson
1141,Claire Trevor
1142,Michael Redgrave
1143,Elsa Lanchester
1144,Harpo Marx
1145,Paul Muni
1146,Mae Clarke
1147,Marina de Tavira
1148,Alec Secareanu
1149,Allison Williams
1150,Henry Cavill
1151,Bahar Pars
1152,Jemaine Clement
1153,Sara Takatsuki
1154,Taron Egerton
1155,RJ Cyler
1156,Adèle Exarchopoulos
1157,Johan Heldenbergh
1158,Nargis Fakhri
1159,Will Forte
1160,Jack McBrayer
1161,Mackenzie Foy
1162,Christina Hendricks
1163,Emmanuel Affadzi
1164,Michael Fassbender
1165,Jennifer Lawrence
1166,Michael Sheen
1167,Colm Feore
1168,Callan McAuliffe
1169,Takuya Ishida
1170,Ken'ichi Matsuyama
1171,Stephen Graham
1172,Sidse Babett Knudsen
1173,Forest Whitaker
1174,Benno Fürmann
1175,Samantha Morton
1176,Mandy Moore
1177,Sebastian Koch
1178,Wah Yuen
1179,Jennifer Jason Leigh
1180,Regina King
1181,Teri Hatcher
1182,Dorothy Duffy
1183,Katrin Saß
1184,Tyler Hoechlin
1185,Christian Berkel
1186,Julie Walters
1187,Miriam Shor
1188,John Rafter Lee
1189,Matt Stone
1190,Jennifer Aniston
1191,Jon Lovitz
1192,Penélope Cruz
1193,Cameron Diaz
1194,Milla Jovovich
1195,Jacques Villeret
1196,Armin Mueller-Stahl
1197,Laura Linney
1198,Eleanor Bron
1199,Michelle Reis
1200,Jeff Anderson
1201,Kermit the Frog
1202,Angela Bassett
1203,Tokiko Katô
1204,Jessica Tandy
